donor_id,name,email,contact_number,password,date_of_birth,gender,education_level,blood_group,first_donation_date,last_donation_date,number_of_donation,total_donation_volume_ml,last_donation_volume_ml,donation_count_outram,donation_count_dhoby_ghaut,donation_count_woodlands,donation_count_jurong_east,donation_count_punggol,had_adverse_reaction_ever,last_blood_quality_screen,availability
3a38fecfcb,Firdaus Tan,firdaustan9054@hotmail.com,+65 95702202,htTzAos%UR,1982-04-11,Male,Secondary,A+,2023-10-10,2023-10-10,1,398,398,0,0,0,1,0,False,Pass,No
ed6ed3abbb,Aaliyah Wu,aaliyahwu6314@hotmail.com,+65 95980765,sThEG^!sJm,1998-05-30,Female,Secondary,A+,2022-10-19,2024-11-13,10,3640,383,0,1,6,2,1,False,Pass,No
c5a82e79d1,Peng Young,pengyoung8489@hotmail.com,+65 82005507,eecxKtIMZ!,2002-03-01,Male,Secondary,B+,2024-05-31,2025-09-13,3,1100,420,0,1,0,0,2,False,Pass,No
1aeb1bc11c,Divya Reyes,divyareyes3512@hotmail.com,+65 81039726,Z3UInpe0ew,1996-10-07,Female,University,O+,2025-03-05,2025-05-28,2,710,362,0,0,0,0,2,False,Pass,Yes
dfbd0a7ebd,Andrei Guo,andreiguo8948@gmail.com,+65 95113878,@orh3!CSk%,1981-07-08,Male,Diploma,B+,2021-06-25,2025-08-15,19,6847,434,2,3,5,6,3,False,Pass,Yes
883fdcdb4b,Finn Martinez,finnmartinez7762@gmail.com,+65 82660923,5kd*R2G!OZ,1975-08-24,Male,Secondary,A+,2021-11-11,2025-04-28,16,6752,365,1,12,1,0,2,False,Pass,Yes
cfca807ace,Omar Ibrahim,omaribrahim8550@hotmail.com,+65 82022351,qXYeCMDoD#,1985-10-16,Male,Postgraduate,A+,2024-06-29,2025-07-07,5,2225,390,0,0,0,5,0,False,Pass,Yes
f1fd2acd2f,Marcus Guo,marcusguo3918@gmail.com,+65 96526716,1i6&hbwW&C,1982-01-07,Male,Diploma,A+,2021-11-09,2025-04-22,16,5891,409,3,7,1,1,4,True,Pass,No
685e8c7fc7,Xin Liu,xinliu8108@hotmail.com,+65 84322585,KnrCNrHYFb,1974-02-14,Female,Diploma,A+,2022-09-30,2025-09-09,11,4018,440,0,6,1,2,2,False,Pass,Yes
c81d13c6f2,Jie Hakim,jiehakim5922@gmail.com,+65 90529561,9I9OHFnd%H,1990-07-04,Male,Secondary,A+,2024-03-01,2024-05-24,2,848,377,0,1,0,1,0,False,Pass,No
cc0acca3b9,Liam Zhou,liamzhou987@gmail.com,+65 95894434,tMFQ@0QbqV,1970-01-13,Male,University,B+,2022-01-27,2025-04-17,15,6241,383,7,1,5,1,1,False,Pass,No
4da31ac7b5,Divya Lin,divyalin482@gmail.com,+65 83042819,Tk%uYDIHGk,1981-04-02,Female,Postgraduate,AB+,2022-10-11,2025-10-07,14,4951,420,8,2,0,4,0,False,Pass,Yes
ad01defa92,Layla Singh,laylasingh1654@hotmail.com,+65 85474614,&yXU889AwZ,2003-01-10,Female,University,B-,2024-12-03,2025-09-22,4,1417,402,0,0,3,1,0,False,Pass,Yes
a5ccf6fe6c,Firdaus Aziz,firdausaziz8163@gmail.com,+65 84220896,lFyPTEr8oB,1996-03-25,Male,Diploma,O-,2024-10-30,2024-10-30,1,417,417,0,0,1,0,0,False,Pass,No
